signal_type,信号数量,平均组合长度,多仓均收益%,多仓标准差,多仓最小%,多仓最大%,多仓盈利数,多仓胜率,空仓均收益%,空仓标准差,空仓最小%,空仓最大%,空仓盈利数,空仓胜率,平均买点位置
横盘整理,17030,9.8291,-0.0216,0.2952,-5.5776,1.1575,7981,0.4686,0.0216,0.2952,-1.1575,5.5776,8963,0.5263,5.6537
探底回升,5966,9.8243,-0.0333,0.3739,-5.5776,0.9648,2744,0.4599,0.0333,0.3739,-0.9648,5.5776,3199,0.5362,5.6564
冲高回落,5586,9.8781,-0.0073,0.2596,-5.2995,1.3377,2679,0.4796,0.0073,0.2596,-1.3377,5.2995,2871,0.514,5.7601
连续下跌2K,4253,8.4978,-0.0177,0.3296,-5.2995,1.5447,2012,0.4731,0.0177,0.3296,-1.5447,5.2995,2227,0.5236,2.0
连续上涨2K,3775,8.4914,-0.0511,0.5143,-5.5776,1.3992,1692,0.4482,0.0511,0.5143,-1.3992,5.5776,2076,0.5499,2.0
连续下跌3K,2287,8.4985,-0.0066,0.2966,-5.2995,1.4993,1067,0.4666,0.0066,0.2966,-1.4993,5.2995,1210,0.5291,3.0
连续上涨3K,1798,8.4839,-0.0665,0.5924,-5.5776,1.3177,759,0.4221,0.0665,0.5924,-1.3177,5.5776,1035,0.5756,3.0
连续下跌4K,1078,9.0,0.0095,0.2153,-0.8844,1.3377,496,0.4601,-0.0095,0.2153,-1.3377,0.8844,576,0.5343,4.0
连续上涨4K,779,8.9782,-0.0639,0.6735,-5.5776,1.1941,341,0.4377,0.0639,0.6735,-1.1941,5.5776,436,0.5597,4.0
连续下跌5K,516,9.5,0.0189,0.1794,-0.5897,0.6528,242,0.469,-0.0189,0.1794,-0.6528,0.5897,270,0.5233,5.0
中位十字星,335,10.6806,0.0319,0.2046,-0.6728,0.7162,181,0.5403,-0.0319,0.2046,-0.7162,0.6728,153,0.4567,7.3612
连续上涨5K,311,9.4727,-0.0554,0.722,-5.5367,1.1532,146,0.4695,0.0554,0.722,-1.1532,5.5367,164,0.5273,5.0
连续下跌6K,250,10.0,0.0262,0.1713,-0.3617,0.6528,122,0.488,-0.0262,0.1713,-0.6528,0.3617,126,0.504,6.0
阴阳交错,174,10.8276,0.0412,0.2617,-0.4626,1.2659,89,0.5115,-0.0412,0.2617,-1.2659,0.4626,84,0.4828,7.6552
连续上涨6K,137,9.9781,0.0757,0.2386,-0.4383,0.8943,76,0.5547,-0.0757,0.2386,-0.8943,0.4383,61,0.4453,6.0
连续下跌7K,116,10.5,0.0299,0.1481,-0.2363,0.6197,59,0.5086,-0.0299,0.1481,-0.6197,0.2363,56,0.4828,7.0
连续上涨7K,56,10.5,0.1225,0.2431,-0.4268,0.5546,37,0.6607,-0.1225,0.2431,-0.5546,0.4268,19,0.3393,7.0
连续下跌8K,48,11.0,0.0307,0.1226,-0.1679,0.5081,25,0.5208,-0.0307,0.1226,-0.5081,0.1679,23,0.4792,8.0
震荡上涨,41,10.9024,-0.0027,0.1254,-0.2785,0.1675,24,0.5854,0.0027,0.1254,-0.1675,0.2785,17,0.4146,7.8049
震荡下跌,27,10.3333,-0.1418,0.2818,-0.6512,0.3336,10,0.3704,0.1418,0.2818,-0.3336,0.6512,17,0.6296,6.6667
连续上涨8K,24,11.0,0.1472,0.1917,-0.1917,0.5097,19,0.7917,-0.1472,0.1917,-0.5097,0.1917,5,0.2083,8.0
连续下跌9K,18,11.5,0.0124,0.1012,-0.1679,0.2355,9,0.5,-0.0124,0.1012,-0.2355,0.1679,9,0.5,9.0
连续上涨9K,10,11.5,0.1595,0.1672,-0.029,0.4686,9,0.9,-0.1595,0.1672,-0.4686,0.029,1,0.1,9.0
高位十字星,10,9.9,-0.333,0.2747,-0.6728,0.0672,1,0.1,0.333,0.2747,-0.0672,0.6728,9,0.9,5.8
低位十字星,7,11.4286,0.1047,0.2726,-0.3351,0.3336,5,0.7143,-0.1047,0.2726,-0.3336,0.3351,2,0.2857,8.8571
连续上涨10K,4,12.0,0.1316,0.1635,-0.029,0.3593,3,0.75,-0.1316,0.1635,-0.3593,0.029,1,0.25,10.0
连续下跌10K,4,12.0,0.055,0.053,-0.0167,0.1111,3,0.75,-0.055,0.053,-0.1111,0.0167,1,0.25,10.0
